Source, Trig Date ,    Trig Time   ,Origin Date,   Origin Time  ,    Profile  , Status, Cluster,      Y     ,      X     ,    Depth   , MomMag,   PGV  , Stage, P S/N  , S S/N  , Quality,   Error  , Location   , rms Noise
7605,   6/4/2024, 16:40:02.685250,   6/4/2024, 16:40:02.543831,      Primary,2,0,-2150,2270,7740,0.3,187.75,9,14,54.2,2.9,1000000,     L2 msmx,7.02
7620,   6/4/2024, 16:40:39.326750,   6/4/2024, 16:40:39.145973,      Primary,2,0,-2130,2290,7710,0.19,187.75,9,37.1,92.3,3.6,1000000,     L2 msmx,8.25
7666,   6/4/2024, 16:42:06.271000,   6/4/2024, 16:42:06.097026,      Primary,2,0,-2190,2420,7210,-0.05,80.08,9,7.9,28.1,2.1,1000000,     L2 msmx,7.23
7763,   6/4/2024, 16:45:18.412750,   6/4/2024, 16:45:18.226845,      Primary,2,0,-2100,2250,7800,0.09,130.95,9,6.8,14.3,2.7,1000000,     L2 msmx,8.62
7765,   6/4/2024, 16:45:25.144750,   6/4/2024, 16:45:24.926710,      Primary,2,0,-2000,2170,8130,0.48,187.75,9,7.7,25.9,2.5,1000000,     L2 msmx,10.54
7840,   6/4/2024, 16:47:48.597750,   6/4/2024, 16:47:48.421379,      Primary,2,0,-1670,2290,7500,0.26,187.75,9,8.2,21.8,3.3,1000000,     L2 msmx,8.9
7922,   6/4/2024, 16:50:23.032000,   6/4/2024, 16:50:23.155981,      Primary,2,0,-2180,2340,7500,0.46,187.75,9,6.7,12.6,2.1,1000000,     L2 msmx,7.28
7959,   6/4/2024, 16:51:38.573000,   6/4/2024, 16:51:38.791748,      Primary,2,0,-2090,2340,7620,0.43,187.75,9,6.1,14.9,3.4,1000000,     L2 msmx,7.55
7963,   6/4/2024, 16:51:46.837750,   6/4/2024, 16:51:46.803326,      Primary,2,0,-2110,2270,7680,0.1,115.5,9,7.2,21.8,2.8,1000000,     L2 msmx,6.66
7984,   6/4/2024, 16:52:24.886500,   6/4/2024, 16:52:24.757280,      Primary,2,0,-1010,2470,6480,0.86,187.75,9,33.6,56.4,4.7,1000000,     L2 msmx,14.81
8163,   6/4/2024, 16:58:17.491250,   6/4/2024, 16:58:17.387146,      Primary,2,0,-1990,2250,7850,0.38,187.75,9,21.9,59.9,2.9,1000000,     L2 msmx,6.81
8311,   6/4/2024, 17:03:19.320750,   6/4/2024, 17:03:19.148520,      Primary,2,0,-2060,2260,7770,-0.03,127.15,9,13.4,29.6,2,1000000,     L2 msmx,6.88
8439,   6/4/2024, 17:07:09.780000,   6/4/2024, 17:07:09.833238,      Primary,2,0,-1980,2220,7850,0.25,187.75,9,7.4,27,2.2,1000000,     L2 msmx,6.76
8458,   6/4/2024, 17:07:47.278250,   6/4/2024, 17:07:47.079292,      Primary,2,0,-2210,2300,7710,0.13,139.02,9,6.5,16.9,2,1000000,     L2 msmx,7.54
