MD,INC,AZI,TVD,SSTVD,N/S,NORTHING,E/W,EASTING,VSEC,DLS
4350,0.68,92.28,4349.4,1098.25,-11.19,13987754.78,26.02,1097933.11,28.15,1.47
4375,0.69,119.99,4374.4,1073.25,-11.27,13987754.69,26.3,1097933.38,28.44,1.31
4400,0.61,73.25,4399.4,1048.25,-11.3,13987754.66,26.56,1097933.64,28.69,2.08
4425,0.56,93.68,4424.4,1023.25,-11.27,13987754.69,26.81,1097933.89,28.92,0.85
4450,0.77,69.92,4449.39,998.26,-11.22,13987754.74,27.09,1097934.17,29.18,1.37
4475,1.11,81.57,4474.39,973.26,-11.13,13987754.83,27.48,1097934.57,29.53,1.55
4500,0.7,92.27,4499.39,948.26,-11.1,13987754.86,27.87,1097934.96,29.9,1.77
4525,0.95,69.37,4524.38,923.27,-11.03,13987754.93,28.22,1097935.31,30.21,1.64
4550,0.7,96.1,4549.38,898.27,-10.98,13987754.98,28.57,1097935.65,30.52,1.81
4575,1.07,104.17,4574.38,873.27,-11.05,13987754.91,28.95,1097936.03,30.91,1.56
4600,1.2,92.9,4599.37,848.28,-11.12,13987754.84,29.43,1097936.52,31.39,1.03
4625,0.98,88.69,4624.37,823.28,-11.13,13987754.83,29.91,1097936.99,31.85,0.94
4650,1.1,102.12,4649.37,798.28,-11.18,13987754.79,30.36,1097937.44,32.29,1.08
4675,1.22,115.26,4674.36,773.29,-11.34,13987754.62,30.83,1097937.92,32.8,1.16
4700,1.49,118.69,4699.35,748.3,-11.61,13987754.35,31.36,1097938.44,33.38,1.13
4725,1.85,122.18,4724.34,723.31,-11.98,13987753.98,31.98,1097939.07,34.08,1.5
4750,2.17,121.8,4749.33,698.32,-12.44,13987753.52,32.73,1097939.81,34.93,1.28
4775,2.44,123.54,4774.31,673.34,-12.99,13987752.97,33.57,1097940.66,35.9,1.12
4800,2.5,124.15,4799.28,648.37,-13.59,13987752.37,34.47,1097941.56,36.93,0.26
4825,2.62,125.62,4824.26,623.39,-14.23,13987751.73,35.38,1097942.47,37.99,0.55
4850,2.53,133.12,4849.23,598.42,-14.94,13987751.02,36.25,1097943.34,39.03,1.39
4875,2.88,126.33,4874.21,573.44,-15.69,13987750.28,37.16,1097944.25,40.11,1.9
4900,2.27,133.86,4899.18,548.47,-16.4,13987749.56,38.02,1097945.11,41.15,2.79
4925,1.87,158.06,4924.16,523.49,-17.12,13987748.84,38.53,1097945.62,41.84,3.81
4950,1.96,148.14,4949.15,498.5,-17.86,13987748.1,38.91,1097946,42.42,1.37
4975,1.61,152.88,4974.14,473.51,-18.54,13987747.42,39.3,1097946.38,42.98,1.52
5000,1.74,163.36,4999.13,448.52,-19.22,13987746.75,39.57,1097946.65,43.44,1.33
5025,0.86,165.6,5024.12,423.53,-19.76,13987746.2,39.72,1097946.81,43.74,3.53
5050,0.9,154.12,5049.12,398.53,-20.12,13987745.84,39.85,1097946.94,43.97,0.72
5075,1,174.59,5074.11,373.54,-20.51,13987745.45,39.96,1097947.05,44.19,1.41
5100,0.75,166.03,5099.11,348.54,-20.89,13987745.07,40.02,1097947.11,44.36,1.13
5125,0.71,143.03,5124.11,323.54,-21.17,13987744.79,40.15,1097947.24,44.57,1.17
5150,0.71,138.33,5149.11,298.54,-21.41,13987744.55,40.35,1097947.43,44.82,0.23
5175,1.17,131.7,5174.1,273.55,-21.7,13987744.26,40.64,1097947.73,45.19,1.89
5200,1.63,128.59,5199.1,248.55,-22.09,13987743.87,41.11,1097948.2,45.75,1.86
5225,1.63,130.3,5224.09,223.56,-22.54,13987743.42,41.66,1097948.75,46.4,0.19
5250,1.64,134.48,5249.08,198.57,-23.02,13987742.94,42.19,1097949.27,47.05,0.48
5275,2.18,141.42,5274.06,173.59,-23.64,13987742.32,42.74,1097949.82,47.76,2.35
5300,2.05,146.12,5299.05,148.6,-24.39,13987741.58,43.28,1097950.37,48.49,0.87
5325,1.61,158.24,5324.03,123.62,-25.08,13987740.88,43.66,1097950.75,49.06,2.33
5350,1.29,175.24,5349.03,98.62,-25.69,13987740.27,43.82,1097950.9,49.38,2.13
5375,0.96,199.55,5374.02,73.63,-26.17,13987739.79,43.77,1097950.86,49.48,2.29
5400,1.1,231.33,5399.02,48.63,-26.52,13987739.45,43.51,1097950.6,49.33,2.32
5425,1.39,228.65,5424.01,23.64,-26.87,13987739.1,43.1,1097950.18,49.03,1.18
5450,1.21,228.97,5449,-1.35,-27.24,13987738.72,42.67,1097949.76,48.73,0.72
5475,0.58,243.49,5474,-26.35,-27.47,13987738.49,42.36,1097949.44,48.5,2.66
5500,0.43,165.75,5499,-51.35,-27.62,13987738.35,42.27,1097949.35,48.46,2.58
5525,1.5,134.22,5524,-76.35,-27.94,13987738.03,42.53,1097949.61,48.8,4.62
5550,2.96,126.35,5548.98,-101.33,-28.55,13987737.42,43.28,1097950.37,49.7,5.95
5575,4.84,121.77,5573.92,-126.27,-29.48,13987736.48,44.7,1097951.78,51.32,7.62
5600,6.56,122.66,5598.79,-151.14,-30.81,13987735.15,46.8,1097953.88,53.72,6.89
5625,7.83,125.08,5623.6,-175.95,-32.56,13987733.4,49.39,1097956.48,56.71,5.22
