ARC_LENGTH_m,MD_m,EASTING,NORTHING,TVD_m
2892.7621350000004,2241.995628642822,1098958.1161780744,13987365.261370212,2086.666385948828
2893.7832300000005,2242.3317370431178,1098959.104600655,13987365.042476894,2086.799582615963
2894.804325,2242.6678670962524,1098960.093027176,13987364.823635709,2086.9328348673266
2895.82542,2243.004018642378,1098961.0814558647,13987364.604839155,2087.0661436869773
2896.846515,2243.3401915216464,1098962.069884948,13987364.386079747,2087.1995100589756
2897.8676100000002,2243.6763855742106,1098963.0583126524,13987364.167349987,2087.3329349673813
2898.8887050000003,2244.0126006402224,1098964.046737205,13987363.948642375,2087.466419396254
2899.9098000000004,2244.348836559834,1098965.0351568328,13987363.729949426,2087.5999643296545
2900.9308950000004,2244.6850931731983,1098966.0235697625,13987363.511263637,2087.733570751641
2901.95199,2245.0213703204677,1098967.011974221,13987363.29257752,2087.8672396462744
2902.973085,2245.3576678417944,1098968.0003684352,13987363.073883574,2088.000971997614
2903.99418,2245.69398557733,1098968.9887506315,13987362.855174305,2088.13476878972
2905.015275,2246.0303233672275,1098969.9771190376,13987362.636442227,2088.268631006653
2906.0363700000003,2246.366681051641,1098970.9654718803,13987362.417679843,2088.402559632472
2907.0574650000003,2246.7030584707195,1098971.9538073856,13987362.198879648,2088.536555651236
2908.0785600000004,2247.0394554646173,1098972.9421237814,13987361.980034158,2088.670620047006
2909.0996550000004,2247.3758718734866,1098973.9304192937,13987361.76113587,2088.8047538038413
2910.12075,2247.7123075374793,1098974.91869215,13987361.5421773,2088.9389579058025
2911.141845,2248.048762311921,1098975.9069405594,13987361.323150871,2089.0732333244896
2912.16294,2248.385236517934,1098976.8951621873,13987361.104046518,2089.207580648982
2913.184035,2248.7217310184114,1098977.883354067,13987360.884851307,2089.3420000234523
2914.2051300000003,2249.05824670672,1098978.8715131965,13987360.665552128,2089.4764915670453
2915.2262250000003,2249.394784476229,1098979.8596365734,13987360.44613588,2089.6110553989065
2916.2473200000004,2249.7313452203034,1098980.8477211948,13987360.22658946,2089.745691638181
2917.2684150000005,2250.067929832314,1098981.8357640596,13987360.00689976,2089.8804004040153
2918.28951,2250.404539205626,1098982.8237621645,13987359.78705368,2090.0151818155537
2919.310605,2250.741174233608,1098983.811712508,13987359.567038115,2090.1500359919423
2920.3317,2251.077835809628,1098984.7996120881,13987359.346839959,2090.284963052326
2921.3527950000002,2251.4145248270524,1098985.7874579015,13987359.12644611,2090.41996311585
2922.3738900000003,2251.7512421792503,1098986.7752469468,13987358.905843463,2090.55503630166
2923.3949850000004,2252.0879887595884,1098987.7629762215,13987358.685018912,2090.690182728901
2924.4160800000004,2252.424765461434,1098988.7506427236,13987358.463959355,2090.82540251672
2925.437175,2252.7615731781552,1098989.7382434502,13987358.242651684,2090.9606957842593
2926.45827,2253.0984128031205,1098990.7257753997,13987358.021082804,2091.096062650667
2927.479365,2253.4352852296965,1098991.7132355697,13987357.799239604,2091.231503235088
2928.50046,2253.7721913512505,1098992.7006209577,13987357.577108977,2091.3670176566666
2929.5215550000003,2254.1091320611513,1098993.6879285618,13987357.354677828,2091.5026060345494
2930.5426500000003,2254.446108252765,1098994.6751553793,13987357.131933043,2091.638268487881
2931.5637450000004,2254.7831208194607,1098995.6622984088,13987356.908861525,2091.774005135807
2932.5848400000004,2255.1201706546044,1098996.6493546467,13987356.68545016,2091.9098160974722
2933.605935,2255.457258651565,1098997.636321092,13987356.461685857,2092.0457014920225
2934.62703,2255.794385503202,1098998.6231949185,13987356.237556335,2092.181661378937
2935.648125,2256.1315504848176,1098999.6099745482,13987356.013055163,2092.317695395855
2936.66922,2256.468752260688,1099000.5966589404,13987355.78817843,2092.4538029985883
2937.6903150000003,2256.805989492693,1099001.5832470574,13987355.562922247,2092.589983642235
2938.7114100000003,2257.143260842711,1099002.5697378607,13987355.337282708,2092.726236781893
2939.7325050000004,2257.480564972622,1099003.5561303126,13987355.111255927,2092.862561872661
2940.7536000000005,2257.817900544304,1099004.5424233745,13987354.884837994,2092.998958369635
2941.774695,2258.1552662196364,1099005.5286160079,13987354.658025019,2093.1354257279145
2942.79579,2258.492660660498,1099006.514707175,13987354.430813102,2093.271963402597
2943.816885,2258.8300825287693,1099007.5006958381,13987354.20319835,2093.4085708487814
2944.8379800000002,2259.1675304863284,1099008.4865809584,13987353.975176858,2093.545247521564
2945.8590750000003,2259.5050031950536,1099009.4723614973,13987353.746744733,2093.6819928760438
2946.8801700000004,2259.842499316824,1099010.4580364176,13987353.517898077,2093.818806367318
2947.9012650000004,2260.18001751352,1099011.4436046807,13987353.288632995,2093.955687450485
2948.92236,2260.5175564470187,1099012.4290652482,13987353.058945583,2094.0926355806428
2949.943455,2260.855114779201,1099013.4144170822,13987352.828831952,2094.2296502128897
2950.96455,2261.192691171945,1099014.3996591445,13987352.598288199,2094.3667308023223
2951.985645,2261.5302842871306,1099015.3847903968,13987352.367310427,2094.5038768040404
2953.0067400000003,2261.867892786635,1099016.3698098005,13987352.135894738,2094.6410876731397
2954.0278350000003,2262.205515332339,1099017.3547163182,13987351.904037239,2094.77836286472
2955.0489300000004,2262.543150586121,1099018.3395089116,13987351.67173403,2094.9157018338788
2956.0700250000004,2262.88079720986,1099019.3241865418,13987351.438981209,2095.053104035713
2957.09112,2263.218453872805,1099020.3087481742,13987351.205774901,2095.19056893236
2958.112215,2263.5561203144885,1099021.2931931708,13987350.972113539,2095.3280970078617
2959.13331,2263.8937984567233,1099022.2775217055,13987350.738000276,2095.4656908299185
2960.154405,2264.23149048715,1099023.2617340502,13987350.503438834,2095.6033532200386
2961.1755000000003,2264.5691985934104,1099024.245830478,13987350.268432945,2095.7410869997334
2962.1965950000003,2264.9069249631452,1099025.2298112607,13987350.03298634,2095.878894990513
2963.2176900000004,2265.2446717839953,1099026.2136766717,13987349.797102747,2096.016780013889
2964.2387850000005,2265.582441243602,1099027.1974269827,13987349.56078589,2096.1547448913693
2965.25988,2265.9202355296056,1099028.1810624662,13987349.3240395,2096.2927924444666
2966.280975,2266.2580568296485,1099029.1645833955,13987349.086867308,2096.430925494691
2967.30207,2266.5959073313697,1099030.1479900419,13987348.849273037,2096.5691468635523
2968.3231650000002,2266.933789222412,1099031.1312826783,13987348.611260418,2096.7074593725615
2969.3442600000003,2267.2717046904154,1099032.1144615777,13987348.37283318,2096.8458658432287
2970.3653550000004,2267.6096559230214,1099033.097527012,13987348.133995049,2096.9843690970642
2971.3864500000004,2267.94764510787,1099034.0804792535,13987347.894749751,2097.1229719555786
2972.407545,2268.285674432603,1099035.063318575,13987347.655101018,2097.261677240282
2973.42864,2268.623746084862,1099036.046045249,13987347.415052578,2097.4004877726857
2974.449735,2268.961862252287,1099037.0286595481,13987347.174608162,2097.5394063742997
2975.47083,2269.3000251225194,1099038.0111617444,13987346.933771491,2097.678435866634
2976.4919250000003,2269.6382368831996,1099038.9935521104,13987346.692546299,2097.8175790712
2977.5130200000003,2269.97649972197,1099039.9758309189,13987346.450936316,2097.956838809507
2978.5341150000004,2270.3148158264694,1099040.9579984418,13987346.208945258,2098.0962179030657
2979.5552100000004,2270.653187384341,1099041.9400549522,13987345.96657687,2098.2357191733877
2980.576305,2270.9916163526336,1099042.9220009502,13987345.723835533,2098.3753450952836
2981.5974,2271.3301021729394,1099043.9038394229,13987345.48073289,2098.515094361521
2982.618495,2271.6686427391055,1099044.8855748887,13987345.23728504,2098.6549633377995
2983.63959,2272.007235922357,1099045.867211888,13987344.993508155,2098.7949483558045
2984.6606850000003,2272.345879593918,1099046.8487549603,13987344.749418389,2098.935045747224
2985.6817800000003,2272.6845716250155,1099047.8302086461,13987344.505031914,2099.0752518437444
2986.7028750000004,2273.023309886872,1099048.8115774854,13987344.260364886,2099.2155629770527
2987.7239700000005,2273.3620922507157,1099049.7928660186,13987344.015433483,2099.355975478836
2988.745065,2273.70091658777,1099050.774078785,13987343.77025386,2099.496485680782
2989.76616,2274.039780769261,1099051.7552203261,13987343.524842186,2099.637089914577
2990.787255,2274.378682666414,1099052.7362951809,13987343.27921462,2099.777784511908
2991.8083500000002,2274.7176201504526,1099053.7173078898,13987343.033387331,2099.9185658044617
2992.8294450000003,2275.0565910926043,1099054.6982629937,13987342.787376486,2100.059430123926
2993.8505400000004,2275.3955933640927,1099055.679165032,13987342.541198246,2100.200373801987
2994.8716350000004,2275.7346248361437,1099056.6600185449,13987342.294868777,2100.3413931703326
2995.89273,2276.0736833799824,1099057.6408280728,13987342.048404247,2100.4824845606495
