channel_GES,east,north,depth,latitude,longitude,elevation,utm_easting,utm_northing,utm_depth
125,66.4213,45.3153,5685.9343,38.504149636752025,-112.89616090220608,-83.04787464000015,334661.43165451894,4263457.505109699,83.04787464000015
126,68.0884,43.7969,5695.7294,38.504145562489235,-112.89615496838522,-86.03342112000018,334661.93978659925,4263457.042301378,86.03342112000018
127,69.7609,42.2772,5705.523,38.5041414849627,-112.896149015605,-89.0185104000002,334662.4495645992,4263456.57909682,89.0185104000002
128,71.4445,40.7589,5715.3154,38.50413741190748,-112.89614302414533,-92.00323392000041,334662.9627258789,4263456.11631898,92.00323392000041
129,73.1491,39.2432,5725.105,38.50413334717821,-112.89613695950419,-94.98710400000004,334663.48228795966,4263455.65433362,94.98710400000004
130,74.8538,37.7275,5734.8947,38.50412928245427,-112.89613089451436,-97.97100456000021,334664.00188051956,4263455.1923482595,97.97100456000021
131,76.6067,36.1911,5744.6706,38.50412516362784,-112.89612465963448,-100.95069888000035,334664.5361644382,4263454.724053539,100.95069888000035
132,78.3676,34.6513,5754.4442,38.504121035919404,-112.89611839656024,-103.92969216000006,334665.07288675965,4263454.254722498,103.92969216000006
133,80.1524,33.1026,5764.2118,38.50411688512903,-112.89611204934454,-106.90685664000011,334665.6168937995,4263453.782678739,106.90685664000011
134,81.9776,31.5386,5773.9693,38.504112694619835,-112.89610555987922,-109.88094264000006,334666.1732147589,4263453.30597154,109.88094264000006
135,83.8029,29.9747,5783.7268,38.50410850439048,-112.89609907007245,-112.85502864000023,334666.72956619924,4263452.829294819,112.85502864000023
136,85.7347,28.3611,5793.4595,38.504104183741084,-112.89609220460032,-115.82155560000024,334667.31837883795,4263452.337469539,115.82155560000024
137,87.6806,26.7408,5803.1889,38.50409984549501,-112.89608528938429,-118.78707672000019,334667.9114891591,4263451.8436021,118.78707672000019
138,89.698,25.0888,5812.8959,38.50409542426538,-112.89607812208136,-121.74577032000025,334668.52639267896,4263451.340072499,121.74577032000025
139,91.8248,23.3882,5822.569,38.504090875799605,-112.89607056906056,-124.69413120000036,334669.17464132013,4263450.821729618,124.69413120000036
140,93.9516,21.6875,5832.2421,38.50408632705878,-112.8960630160335,-127.64249208000024,334669.8228899593,4263450.303356259,127.64249208000024
141,96.272,19.9102,5841.8604,38.50408157897507,-112.89605478109652,-130.57414992000008,334670.53014787886,4263449.76163522,130.57414992000008
142,98.6119,18.1251,5851.4732,38.50407681058007,-112.89604647747032,-133.5041313600002,334671.24334939953,4263449.21753674,133.5041313600002
143,101.0567,16.3028,5861.0504,38.50407194599144,-112.89603780466949,-136.4232619200002,334671.98852443893,4263448.662099699,136.4232619200002
144,103.6458,14.4293,5870.5788,38.504066949003004,-112.89602862403123,-139.32751824000024,334672.77768211905,4263448.091056899,139.32751824000024
145,106.235,12.5558,5880.1071,38.50406195201947,-112.89601944304486,-142.23174408000023,334673.56687027885,4263447.5200141,142.23174408000023
146,109.117,10.596,5889.5341,38.504056734675096,-112.89600923286827,-145.1050936800002,334674.44530387886,4263446.922667059,145.1050936800002
147,112.0197,8.63,5898.9539,38.5040515014796,-112.89599894992553,-147.97624872000029,334675.3300468394,4263446.32343026,147.97624872000029
148,115.0301,6.6479,5908.3342,38.504046230176094,-112.89598828954543,-150.83536416000038,334676.2476167596,4263445.719286178,150.83536416000038
149,118.1741,4.6457,5917.6655,38.50404091124837,-112.89597716095129,-153.67954440000017,334677.2059079591,4263445.109015618,153.67954440000017
150,121.318,2.6435,5926.9969,38.504035592313876,-112.89596603270813,-156.52375512000026,334678.1641686793,4263444.49874506,156.52375512000026
151,124.6047,0.6645,5936.2897,38.50403034515078,-112.89595440722606,-159.3562005600004,334679.16595483955,4263443.895545859,159.3562005600004
152,127.8974,-1.3135,5945.5808,38.50402510107134,-112.895942760855,-162.1881278400001,334680.1695697992,4263443.2926514605,162.1881278400001
153,131.2622,-3.2593,5954.8492,38.5040199494715,-112.89593086490295,-165.01313616000016,334681.1951608389,4263442.699571619,165.01313616000016
154,134.7077,-5.169,5964.0921,38.50401490154474,-112.89591868960427,-167.8303720800002,334682.2453492392,4263442.117495058,167.8303720800002
155,138.1532,-7.0787,5973.335,38.50400985361668,-112.89590651430726,-170.64760800000022,334683.2955376381,4263441.535418498,170.64760800000022
156,141.7847,-8.8934,5982.5304,38.50400507702255,-112.89589369601009,-173.4503659200002,334684.4024188393,4263440.98229794,173.4503659200002
157,145.4191,-10.7066,5991.725,38.504000304709116,-112.89588086769062,-176.25288000000023,334685.5101839595,4263440.429634579,176.25288000000023
158,149.1315,-12.4858,6000.8957,38.50399563015039,-112.89586776930652,-179.04810936000013,334686.6417234788,4263439.8873344185,179.04810936000013
159,152.9228,-14.2306,6010.0421,38.503991054495366,-112.89585439774213,-181.83593208000002,334687.79731171875,4263439.355519379,181.83593208000002
160,156.7151,-15.9753,6019.188,38.50398647916989,-112.89584102269282,-184.6236024000002,334688.95320475893,4263438.823734819,184.6236024000002
161,160.6149,-17.7,6028.2862,38.50398196483243,-112.89582727350457,-187.39673375999996,334690.1418638003,4263438.298046258,187.39673375999996
162,164.5147,-19.4248,6037.3844,38.50397745021878,-112.8958135243108,-190.16986512000017,334691.3305228391,4263437.772327219,190.16986512000017
163,168.4712,-21.1453,6046.4615,38.5039729506164,-112.8957995773314,-192.93656520000036,334692.5364640389,4263437.247918819,192.93656520000036
164,172.4795,-22.8621,6055.5195,38.50396846410079,-112.89578544964269,-195.69744360000027,334693.7581938795,4263436.724638179,195.69744360000027
